ID,Credit_Limit,Gender,Education,Marital_Status,AGE_in_Years,Customer Category
10152,60000,2,2,2,48,Blacklist
11517,100000,1,2,1,35,Blacklist
17122,30000,2,2,1,27,Blacklist
8906,50000,1,2,2,25,Blacklist
3257,80000,2,2,2,24,Blacklist
6493,30000,2,2,1,40,Blacklist
7175,20000,1,2,1,36,Blacklist
16700,220000,1,2,1,47,Blacklist
16515,20000,1,1,2,24,Blacklist
8547,20000,1,2,2,26,Blacklist
20380,20000,1,2,2,24,Blacklist
17364,50000,2,2,1,36,Blacklist
19201,20000,2,2,1,46,Blacklist
27155,20000,1,2,1,43,Blacklist
7248,20000,1,2,2,24,Blacklist
18989,100000,2,1,2,30,Blacklist
4331,30000,1,2,2,26,Blacklist
6079,150000,2,1,2,25,Blacklist
2293,80000,2,3,1,43,Blacklist
8178,70000,2,2,1,32,Blacklist
10540,220000,1,2,1,47,Blacklist
29323,40000,1,2,2,27,Blacklist
12197,20000,1,2,2,35,Blacklist
17233,10000,2,2,3,46,Blacklist
17748,30000,2,3,1,54,Blacklist
7311,90000,2,2,2,23,Blacklist
26151,50000,2,2,1,34,Blacklist
3993,20000,1,2,2,22,Blacklist
20360,20000,1,2,2,22,Blacklist
12207,30000,1,2,1,36,Blacklist
20438,30000,1,2,2,22,Blacklist
12746,50000,1,3,1,52,Blacklist
4433,30000,2,3,3,42,Blacklist
7074,140000,2,2,2,31,Blacklist
23935,20000,1,2,2,22,Blacklist
8526,150000,2,2,1,36,Blacklist
14631,10000,1,2,2,23,Blacklist
8047,30000,1,2,2,39,Blacklist
7744,20000,2,2,1,42,Blacklist
28645,100000,2,2,2,44,Blacklist
17040,100000,2,2,2,24,Blacklist
8052,30000,1,2,1,36,Blacklist
28880,230000,2,2,2,43,Blacklist
22994,50000,2,1,1,41,Blacklist
7038,120000,1,1,1,52,Blacklist
6582,240000,1,3,1,40,Blacklist
20771,50000,1,3,2,34,Blacklist
16401,10000,2,3,2,44,Blacklist
18257,10000,1,3,1,54,Blacklist
1524,30000,2,1,2,27,Blacklist
27536,20000,1,3,1,53,Blacklist
8709,100000,1,2,2,29,Blacklist
121,50000,1,3,2,37,Blacklist
6335,70000,2,2,1,33,Blacklist
9215,20000,1,2,1,48,Blacklist
16870,20000,1,2,2,36,Blacklist
20991,180000,1,1,2,31,Blacklist
16957,270000,1,1,1,50,Blacklist
28262,20000,2,2,1,42,Blacklist
2052,50000,1,3,2,27,Blacklist
16223,80000,2,3,1,43,Blacklist
29505,20000,1,2,1,40,Blacklist
17635,80000,2,2,2,30,Blacklist
11874,100000,1,2,1,29,Blacklist
23965,20000,1,2,1,24,Blacklist
7409,30000,2,3,1,41,Blacklist
24039,70000,1,3,2,27,Blacklist
14082,80000,1,1,1,41,Blacklist
29557,80000,1,1,2,33,Blacklist
1122,20000,1,2,2,30,Blacklist
8324,20000,1,2,1,39,Blacklist
11682,100000,1,2,2,29,Blacklist
18914,50000,2,2,2,28,Blacklist
7049,350000,2,1,2,44,Blacklist
7793,20000,2,2,1,22,Blacklist
17922,100000,1,2,1,29,Blacklist
405,160000,2,1,2,29,Blacklist
2422,20000,2,2,1,24,Blacklist
13945,90000,2,2,2,32,Blacklist
14440,50000,2,1,2,31,Blacklist
9651,70000,1,2,2,24,Blacklist
10338,20000,2,2,1,47,Blacklist
16236,70000,2,2,1,41,Blacklist
7216,30000,2,2,1,56,Blacklist
19640,90000,2,1,2,31,Blacklist
13021,20000,1,2,1,56,Blacklist
5611,160000,2,2,2,27,Blacklist
13314,30000,2,3,2,26,Blacklist
21034,20000,1,2,1,36,Blacklist
15194,110000,2,2,2,24,Blacklist
19053,20000,2,2,1,26,Blacklist
9484,70000,2,3,1,59,Blacklist
17009,50000,2,2,2,24,Blacklist
29897,70000,1,3,1,45,Blacklist
17786,310000,2,1,1,62,Blacklist
3094,230000,2,1,2,30,Blacklist
2510,30000,1,3,1,28,Blacklist
22657,350000,2,1,2,44,Blacklist
15789,30000,2,2,1,26,Blacklist
7145,100000,2,2,2,30,Blacklist
11343,20000,1,2,1,41,Blacklist
10547,30000,2,3,3,56,Blacklist
20739,30000,1,2,2,30,Blacklist
9075,30000,2,3,1,33,Blacklist
5593,30000,1,2,1,49,Blacklist
3234,30000,2,2,1,26,Blacklist
4448,90000,1,2,1,52,Blacklist
13697,30000,2,2,2,49,Blacklist
2054,140000,1,3,1,37,Blacklist
16920,50000,1,3,1,52,Blacklist
28298,30000,2,2,1,31,Blacklist
9414,100000,2,1,1,39,Blacklist
5473,20000,2,3,3,55,Blacklist
9284,240000,2,5,1,41,Blacklist
12909,120000,1,3,2,37,Blacklist
9272,60000,1,1,2,31,Blacklist
16512,20000,1,3,2,24,Blacklist
705,30000,2,2,3,22,Blacklist
4993,80000,1,2,1,36,Blacklist
5925,340000,2,2,2,31,Blacklist
21648,70000,2,2,2,25,Blacklist
28636,100000,2,3,1,35,Blacklist
29539,120000,1,2,1,34,Blacklist
188,200000,2,3,2,47,Blacklist
2818,50000,2,1,2,24,Blacklist
15936,30000,2,2,1,25,Blacklist
16733,240000,1,3,1,42,Blacklist
17231,100000,2,1,1,39,Blacklist
29995,80000,1,2,2,34,Blacklist
17650,130000,2,2,1,47,Blacklist
14981,30000,1,2,1,23,Blacklist
9007,150000,1,2,1,35,Blacklist
3276,20000,1,3,2,59,Blacklist
1045,20000,2,1,2,22,Blacklist
400,120000,2,2,2,25,Blacklist
6839,80000,2,2,2,42,Blacklist
5725,50000,2,1,2,25,Blacklist
27222,300000,1,2,2,36,Blacklist
6541,60000,1,1,2,31,Blacklist
17044,50000,2,2,1,26,Blacklist
3211,230000,1,3,2,30,Blacklist
1446,80000,2,2,2,25,Blacklist
9013,100000,2,2,1,29,Blacklist
15226,90000,2,3,1,40,Blacklist
28684,230000,2,1,2,30,Blacklist
20725,270000,1,3,2,38,Blacklist
17802,30000,1,2,1,23,Blacklist
12813,130000,2,2,2,29,Blacklist
2462,30000,2,2,2,26,Blacklist
11828,50000,2,2,2,30,Blacklist
11585,170000,2,1,1,30,Blacklist
15014,20000,1,2,2,40,Blacklist
5085,140000,1,3,1,45,Blacklist
2464,20000,1,2,2,27,Blacklist
2773,50000,2,1,2,25,Blacklist
9085,50000,2,1,2,27,Blacklist
22402,150000,2,2,2,28,Blacklist
12011,90000,2,2,2,39,Blacklist
10231,140000,1,2,1,38,Blacklist
17325,150000,2,2,2,32,Blacklist
1518,190000,1,3,1,49,Blacklist
4510,130000,2,2,2,42,Blacklist
27616,120000,2,2,2,27,Blacklist
6062,150000,2,2,1,36,Blacklist
16978,30000,2,2,1,30,Blacklist
9695,20000,1,3,2,23,Blacklist
9167,30000,1,2,2,25,Blacklist
2853,90000,2,2,1,24,Blacklist
17077,100000,2,2,2,24,Blacklist
22387,170000,2,1,2,30,Blacklist
2715,30000,1,2,2,35,Blacklist
3576,60000,1,3,2,28,Blacklist
21517,60000,2,2,2,26,Blacklist
20871,200000,1,1,2,31,Blacklist
23170,320000,2,2,1,37,Blacklist
25646,40000,2,2,2,44,Blacklist
12177,50000,1,3,1,53,Blacklist
16697,50000,1,3,3,44,Blacklist
13401,50000,2,3,1,32,Blacklist
12370,20000,2,2,2,42,Blacklist
2156,110000,2,1,2,29,Blacklist
15764,100000,2,2,2,23,Blacklist
4883,50000,1,2,2,29,Blacklist
10468,110000,1,2,2,24,Blacklist
14368,100000,1,1,1,51,Blacklist
17974,30000,1,1,2,33,Blacklist
24666,30000,1,1,1,45,Blacklist
28598,60000,2,3,1,46,Blacklist
5751,160000,2,2,2,37,Blacklist
21801,50000,2,1,2,25,Blacklist
9551,80000,1,2,2,30,Blacklist
3873,30000,1,3,1,49,Blacklist
9661,30000,2,3,1,35,Blacklist
15851,50000,2,1,2,28,Blacklist
25585,30000,2,2,1,35,Blacklist
17837,110000,1,2,2,24,Blacklist
4020,30000,2,2,1,27,Blacklist
12238,50000,1,1,2,30,Blacklist
13056,230000,1,3,2,29,Blacklist
13292,50000,2,1,2,22,Blacklist
25192,50000,2,1,2,23,Blacklist
17396,80000,2,2,1,29,Blacklist
27959,20000,2,1,2,28,Blacklist
23663,70000,2,3,1,48,Blacklist
14977,30000,2,3,1,58,Blacklist
6753,30000,2,3,1,50,Blacklist
12393,30000,2,3,1,47,Blacklist
18229,20000,1,3,1,62,Blacklist
12947,140000,1,1,2,34,Blacklist
16506,10000,1,3,2,22,Blacklist
28305,80000,2,2,1,29,Blacklist
6211,50000,2,2,1,34,Blacklist
18926,30000,2,2,1,29,Blacklist
15899,110000,2,2,1,25,Blacklist
19092,50000,2,2,3,31,Blacklist
26099,160000,2,2,2,37,Blacklist
13370,150000,1,1,1,31,Blacklist
27485,100000,1,3,1,54,Blacklist
11713,120000,2,3,2,47,Blacklist
24303,100000,1,1,2,31,Blacklist
10460,50000,1,2,1,48,Blacklist
19070,30000,2,3,1,35,Blacklist
14281,140000,1,3,1,38,Blacklist
13739,30000,2,2,2,22,Blacklist
20497,140000,1,2,2,26,Blacklist
26298,240000,2,1,1,32,Blacklist
24325,50000,1,3,1,49,Blacklist
8294,50000,2,3,2,23,Blacklist
18657,90000,2,2,2,26,Blacklist
4746,160000,1,2,2,28,Blacklist
9881,180000,1,1,2,23,Blacklist
6646,30000,2,2,1,46,Blacklist
23100,60000,2,3,2,44,Blacklist
669,100000,2,3,1,35,Blacklist
1840,160000,2,3,1,51,Blacklist
18937,60000,2,2,1,28,Blacklist
29501,10000,1,2,1,42,Blacklist
20757,40000,1,2,1,46,Blacklist
24591,70000,1,1,2,32,Blacklist
17586,20000,2,3,1,39,Blacklist
13909,180000,2,1,2,28,Blacklist
10729,130000,1,1,1,47,Blacklist
19461,70000,2,2,2,33,Blacklist
25511,100000,2,2,2,24,Blacklist
24328,170000,1,2,1,35,Blacklist
2090,90000,2,1,1,41,Blacklist
29269,50000,1,2,2,26,Blacklist
12823,140000,2,2,1,50,Blacklist
17279,50000,2,2,1,34,Blacklist
11485,30000,2,1,2,23,Blacklist
25156,30000,2,2,1,24,Blacklist
14797,50000,2,3,1,43,Blacklist
16961,50000,1,2,1,48,Blacklist
24503,50000,1,1,2,34,Blacklist
16498,20000,1,2,2,26,Blacklist
3936,130000,2,1,1,32,Blacklist
16455,80000,2,2,1,56,Blacklist
9108,110000,1,1,1,32,Blacklist
15910,50000,2,3,2,28,Blacklist
7561,70000,2,1,2,28,Blacklist
19207,30000,2,2,1,25,Blacklist
9700,130000,1,2,2,27,Blacklist
1084,50000,2,1,2,25,Blacklist
21053,70000,1,2,1,37,Blacklist
6046,200000,2,2,1,27,Blacklist
5580,30000,2,3,1,58,Blacklist
16380,30000,2,3,1,46,Blacklist
1956,10000,1,2,2,41,Blacklist
5902,140000,2,2,2,27,Blacklist
21549,30000,2,2,2,22,Blacklist
2393,50000,1,3,1,32,Blacklist
2927,30000,2,2,1,34,Blacklist
4341,380000,2,1,1,34,Blacklist
18659,40000,2,2,1,28,Blacklist
10195,10000,1,3,1,46,Blacklist
14806,20000,1,2,2,24,Blacklist
8390,20000,1,2,2,24,Blacklist
6583,200000,1,2,2,29,Blacklist
13255,20000,1,2,2,25,Blacklist
16926,30000,1,3,3,52,Blacklist
8111,50000,2,3,1,22,Blacklist
5114,30000,2,3,2,36,Blacklist
22286,30000,2,3,1,29,Blacklist
1889,90000,2,2,1,32,Blacklist
7395,30000,2,3,1,31,Blacklist
5080,200000,2,2,1,43,Blacklist
6109,120000,1,1,1,35,Blacklist
9921,200000,1,3,2,34,Blacklist
4674,50000,1,2,2,27,Blacklist
12362,100000,2,1,2,26,Blacklist
8429,150000,1,1,2,35,Blacklist
26703,40000,1,1,2,29,Blacklist
5488,30000,1,1,2,33,Blacklist
1870,40000,2,2,1,23,Blacklist
10918,200000,2,3,1,54,Blacklist
26565,200000,2,3,1,55,Blacklist
897,110000,1,1,3,55,Blacklist
17847,200000,1,1,2,26,Blacklist
10576,100000,1,1,2,31,Blacklist
14881,120000,1,3,1,32,Blacklist
2376,40000,1,2,1,38,Blacklist
14624,30000,2,2,2,23,Blacklist
9390,40000,1,2,2,26,Blacklist
26930,140000,1,2,1,38,Blacklist
22689,50000,2,1,1,33,Blacklist
25286,140000,2,2,2,26,Blacklist
8930,10000,1,2,2,29,Blacklist
23705,50000,2,3,1,53,Blacklist
21098,200000,1,1,1,42,Blacklist
12937,220000,2,1,1,32,Blacklist
9020,200000,1,1,1,34,Blacklist
18445,20000,2,1,2,26,Blacklist
17032,50000,2,3,2,23,Blacklist
21318,150000,1,1,1,55,Blacklist
11617,30000,2,3,2,52,Blacklist
22626,380000,2,1,2,34,Blacklist
13958,20000,2,1,2,33,Blacklist
12347,190000,2,1,2,28,Blacklist
24198,80000,1,2,2,30,Blacklist
11050,90000,2,3,1,33,Blacklist
17916,50000,1,3,1,32,Blacklist
26880,150000,1,2,2,32,Blacklist
22523,20000,2,2,1,34,Blacklist
20853,50000,1,1,2,32,Blacklist
16579,30000,1,1,2,29,Blacklist
1909,30000,1,2,2,36,Blacklist
17843,20000,1,2,2,24,Blacklist
28482,110000,2,1,2,31,Blacklist
27440,150000,1,1,2,32,Blacklist
13290,230000,2,1,1,34,Blacklist
16549,20000,1,2,2,30,Blacklist
13441,40000,2,2,2,23,Blacklist
9812,90000,1,3,1,49,Blacklist
2131,140000,1,1,1,57,Blacklist
18623,50000,2,2,2,27,Blacklist
21531,60000,2,2,2,22,Blacklist
17960,80000,1,1,2,33,Blacklist
14500,60000,2,2,2,24,Blacklist
2375,50000,2,2,2,25,Blacklist
23110,130000,2,2,2,42,Blacklist
18958,140000,2,2,1,28,Blacklist
18688,60000,2,2,2,28,Blacklist
6751,30000,2,3,1,46,Blacklist
17056,50000,2,3,1,22,Blacklist
9843,30000,1,2,2,25,Blacklist
15185,20000,2,2,2,25,Blacklist
25260,50000,2,2,2,24,Blacklist
18919,190000,2,1,2,28,Blacklist
18749,60000,2,2,2,26,Blacklist
13489,80000,1,1,2,26,Blacklist
27477,170000,1,1,1,50,Blacklist
20606,200000,1,1,2,30,Blacklist
27262,20000,1,3,2,34,Blacklist
17387,20000,2,2,2,48,Blacklist
21322,300000,1,1,1,50,Blacklist
8226,20000,1,1,2,33,Blacklist
12407,160000,2,1,2,33,Blacklist
1380,80000,1,3,2,26,Blacklist
2219,50000,1,2,2,58,Blacklist
28663,50000,2,3,2,44,Blacklist
2844,120000,2,2,2,28,Blacklist
25588,230000,2,1,1,34,Blacklist
9647,30000,2,2,2,34,Blacklist
20473,80000,1,3,1,34,Blacklist
1082,10000,1,2,1,32,Blacklist
20282,30000,2,2,1,50,Blacklist
13779,30000,2,2,2,25,Blacklist
4918,160000,2,2,1,35,Blacklist
14650,200000,1,1,2,33,Blacklist
11284,30000,2,2,2,25,Blacklist
17447,30000,2,2,1,43,Blacklist
19033,30000,2,2,2,34,Blacklist
3217,20000,2,1,2,25,Blacklist
18072,60000,1,2,2,36,Blacklist
12164,50000,1,1,2,42,Blacklist
5164,110000,2,2,1,26,Blacklist
23211,110000,2,2,1,43,Blacklist
7135,60000,2,1,2,25,Blacklist
12724,70000,2,1,2,27,Blacklist
14955,20000,1,2,2,40,Blacklist
7902,60000,2,2,1,29,Blacklist
677,190000,1,2,2,40,Blacklist
26083,20000,2,2,1,36,Blacklist
9614,120000,1,1,1,34,Blacklist
22537,130000,2,2,1,48,Blacklist
17764,30000,2,3,1,56,Blacklist
13718,70000,2,3,1,30,Blacklist
4194,10000,2,1,2,22,Blacklist
3047,330000,2,2,1,41,Blacklist
1989,140000,1,2,2,34,Blacklist
16790,220000,1,3,1,39,Blacklist
8179,50000,1,2,2,29,Blacklist
29849,100000,1,2,2,44,Blacklist
4405,100000,2,2,2,25,Blacklist
783,100000,2,1,2,28,Blacklist
21058,160000,1,2,2,38,Blacklist
5372,10000,1,3,1,40,Blacklist
6976,100000,2,3,1,36,Blacklist
27263,50000,1,2,1,38,Blacklist
5391,200000,1,1,2,37,Blacklist
9677,60000,1,2,2,29,Blacklist
20688,180000,1,1,2,28,Blacklist
4543,100000,2,2,2,29,Blacklist
20339,50000,2,3,1,58,Blacklist
16802,20000,1,2,2,35,Blacklist
13529,20000,1,3,2,31,Blacklist
28060,80000,2,3,1,35,Blacklist
17654,10000,2,2,1,46,Blacklist
24193,20000,1,2,1,30,Blacklist
25416,70000,2,3,1,30,Blacklist
4146,50000,2,2,1,46,Blacklist
15351,50000,2,3,3,37,Blacklist
27054,30000,1,3,1,28,Blacklist
10975,30000,1,2,2,29,Blacklist
21716,30000,2,2,2,24,Blacklist
20907,190000,1,2,2,40,Blacklist
28427,50000,2,1,2,30,Blacklist
8338,30000,2,3,1,39,Blacklist
5189,140000,1,1,2,28,Blacklist
23927,110000,1,2,2,26,Blacklist
21565,80000,2,2,2,23,Blacklist
14018,50000,1,2,2,45,Blacklist
18893,200000,2,2,2,28,Blacklist
6895,60000,2,1,1,43,Blacklist
20702,30000,1,1,2,33,Blacklist
14472,110000,2,2,2,28,Blacklist
27309,20000,1,3,2,33,Blacklist
6349,80000,1,1,2,34,Blacklist
9090,180000,2,1,2,31,Blacklist
20308,130000,2,2,1,53,Blacklist
20283,50000,2,1,1,50,Blacklist
11818,30000,2,2,1,23,Blacklist
11498,250000,1,1,1,42,Blacklist
7811,270000,1,2,1,53,Blacklist
13222,50000,1,2,2,24,Blacklist
4189,310000,2,2,1,43,Blacklist
18230,50000,1,2,1,54,Blacklist
25875,170000,2,1,1,35,Blacklist
12067,70000,2,3,1,53,Blacklist
540,110000,2,2,1,40,Blacklist
989,360000,2,2,2,25,Blacklist
8203,130000,2,2,1,44,Blacklist
3339,10000,1,3,2,24,Blacklist
26997,80000,1,1,2,34,Blacklist
1433,230000,1,2,2,32,Blacklist
16698,80000,1,3,2,40,Blacklist
21222,80000,1,1,2,38,Blacklist
27459,100000,1,3,1,50,Blacklist
898,170000,2,1,2,28,Blacklist
26413,20000,2,2,2,38,Blacklist
29313,110000,1,2,1,30,Blacklist
29525,30000,1,3,1,42,Blacklist
21381,50000,1,2,1,54,Blacklist
19195,380000,2,2,1,33,Blacklist
3590,70000,2,2,2,26,Blacklist
2435,120000,2,2,2,25,Blacklist
22415,60000,2,2,1,37,Blacklist
23088,100000,2,2,1,36,Blacklist
21077,230000,1,1,1,46,Blacklist
5743,30000,2,3,2,59,Blacklist
15856,150000,2,2,2,25,Blacklist
19490,180000,2,1,2,42,Blacklist
4218,50000,1,2,2,33,Blacklist
17688,70000,2,1,1,35,Blacklist
16331,30000,2,2,1,45,Blacklist
22879,290000,2,2,2,34,Blacklist
12395,20000,1,3,2,45,Blacklist
26716,80000,1,2,2,27,Blacklist
11452,50000,2,3,1,47,Blacklist
20368,20000,1,2,2,23,Blacklist
4580,200000,1,3,1,50,Blacklist
25835,50000,2,2,2,47,Blacklist
8296,100000,1,1,2,29,Blacklist
20867,60000,1,2,2,32,Blacklist
22881,30000,2,3,1,39,Blacklist
6828,60000,2,1,2,24,Blacklist
23608,240000,2,1,2,37,Blacklist
20882,110000,1,1,2,30,Blacklist
24133,50000,1,2,2,29,Blacklist
16158,30000,2,2,1,46,Blacklist
19345,20000,2,3,1,48,Blacklist
8191,190000,1,1,2,36,Blacklist
17813,10000,1,2,2,22,Blacklist
4894,160000,2,2,2,28,Blacklist
13422,100000,2,1,2,29,Blacklist
436,270000,2,2,1,32,Blacklist
17320,200000,2,1,2,25,Blacklist
6155,30000,2,1,2,34,Blacklist
26652,10000,1,2,2,24,Blacklist
3351,30000,1,2,1,44,Blacklist
1432,70000,2,2,1,42,Blacklist
18074,110000,1,3,2,34,Blacklist
13606,50000,2,1,2,27,Blacklist
12716,250000,2,2,1,35,Blacklist
17919,120000,1,1,2,33,Blacklist
10871,80000,1,2,1,37,Blacklist
29301,200000,1,2,2,25,Blacklist
16536,50000,1,1,2,26,Blacklist
7624,20000,2,1,2,25,Blacklist
15009,30000,1,3,1,43,Blacklist
19056,70000,2,3,1,35,Blacklist
12217,280000,2,2,1,39,Blacklist
3513,60000,2,1,2,28,Blacklist
12391,150000,2,2,2,32,Blacklist
3144,70000,2,2,1,41,Blacklist
14709,80000,1,1,1,37,Blacklist
17208,50000,2,1,2,27,Blacklist
6637,80000,2,3,1,41,Blacklist
22507,60000,2,2,1,37,Blacklist
18034,280000,1,2,1,32,Blacklist
13152,180000,2,2,1,34,Blacklist
1559,50000,2,3,1,31,Blacklist
27858,20000,2,2,2,23,Blacklist
28504,150000,2,2,1,36,Blacklist
16098,30000,2,2,1,42,Blacklist
10522,100000,1,2,1,51,Blacklist
7532,70000,1,1,2,36,Blacklist
29116,20000,2,2,1,59,Blacklist
29494,100000,1,2,1,33,Blacklist
18736,70000,2,1,2,25,Blacklist
7993,50000,2,2,2,23,Blacklist
22611,200000,2,3,1,30,Blacklist
20710,70000,1,2,1,44,Blacklist
4249,90000,1,3,1,42,Blacklist
20734,50000,1,2,1,41,Blacklist
24500,100000,1,3,1,42,Blacklist
13961,120000,1,2,1,38,Blacklist
7569,30000,1,2,2,30,Blacklist
23031,150000,2,1,1,33,Blacklist
1647,50000,2,1,2,27,Blacklist
3562,90000,1,2,2,33,Blacklist
14341,30000,2,2,2,28,Blacklist
91,200000,1,1,1,53,Blacklist
4471,70000,1,3,0,35,Blacklist
12261,90000,2,2,2,23,Blacklist
27613,50000,2,2,2,25,Blacklist
17141,50000,2,2,2,25,Blacklist
10804,100000,1,2,1,41,Blacklist
29343,30000,1,2,2,24,Blacklist
10785,80000,2,2,1,33,Blacklist
8471,30000,2,2,2,23,Blacklist
23302,90000,2,2,2,35,Blacklist
8521,60000,1,2,1,29,Blacklist
15063,100000,1,3,2,35,Blacklist
29772,10000,1,2,1,37,Blacklist
21892,70000,2,1,2,26,Blacklist
18726,140000,2,3,1,28,Blacklist
19815,100000,2,3,1,45,Blacklist
21402,120000,2,2,3,59,Blacklist
1337,70000,2,2,2,26,Blacklist
25317,50000,2,3,2,26,Blacklist
14328,20000,1,2,2,26,Blacklist
2471,140000,2,1,2,29,Blacklist
15779,20000,2,2,2,24,Blacklist
196,50000,2,1,2,24,Blacklist
7611,70000,2,2,2,24,Blacklist
10823,140000,2,1,2,27,Blacklist
17620,180000,2,1,2,33,Blacklist
6855,180000,1,1,1,35,Blacklist
12674,430000,2,2,1,42,Blacklist
25533,50000,2,1,2,33,High Risk
4573,10000,2,2,1,55,High Risk
14097,20000,1,2,1,61,High Risk
9839,150000,2,2,1,29,High Risk
15872,30000,2,2,2,28,High Risk
14794,20000,1,1,2,25,High Risk
6668,50000,1,2,2,39,High Risk
18519,40000,2,1,2,26,High Risk
4209,30000,1,3,2,23,High Risk
330,150000,1,1,1,40,High Risk
6630,30000,2,3,1,44,High Risk
7735,30000,2,2,1,52,High Risk
484,90000,1,3,1,48,High Risk
4493,50000,1,2,2,26,High Risk
2403,80000,2,2,2,29,High Risk
7926,50000,1,2,2,36,High Risk
15513,30000,1,2,1,37,High Risk
27083,80000,1,2,1,39,High Risk
19596,430000,2,2,1,42,High Risk
16694,250000,1,1,2,35,High Risk
649,280000,2,2,1,44,High Risk
19650,180000,2,2,1,33,High Risk
14692,20000,1,2,2,28,High Risk
12079,30000,2,3,0,46,High Risk
20285,40000,2,3,2,55,High Risk
7023,100000,1,2,1,44,High Risk
3641,50000,1,3,2,41,High Risk
13445,320000,1,1,1,48,High Risk
8276,200000,2,3,1,27,High Risk
16744,50000,1,2,2,39,High Risk
17925,40000,1,2,1,44,High Risk
